日期,本日开始,本日结束,最高, 最低,体积
2019-08-06,0.852,0.845,0.854,0.835,185498.0
2019-08-07,0.853,0.857,0.863,0.853,346795.0
2019-08-08,0.877,0.877,0.882,0.87,271388.0
2019-08-09,0.877,0.873,0.88,0.867,233832.0
2019-08-12,0.872,0.866,0.872,0.865,136306.0
2019-08-13,0.883,0.897,0.898,0.883,225822.0
2019-08-14,0.868,0.869,0.872,0.862,331679.0
2019-08-15,0.89,0.883,0.894,0.871,371127.0
2019-08-16,0.886,0.885,0.891,0.879,153351.0
2019-08-19,0.872,0.876,0.879,0.871,199531.0
2019-08-20,0.873,0.874,0.875,0.866,127643.0
2019-08-21,0.88,0.877,0.882,0.875,131480.0
2019-08-22,0.878,0.879,0.88,0.876,105564.0
2019-08-23,0.878,0.878,0.88,0.877,148870.0
2019-08-26,0.91,0.915,0.919,0.91,306171.0
2019-08-27,0.917,0.924,0.928,0.915,168273.0
2019-08-28,0.95,0.944,0.95,0.932,442045.0
2019-08-29,0.947,0.965,0.965,0.947,844268.0
2019-08-30,0.947,0.955,0.962,0.941,667351.0
2019-09-02,0.952,0.951,0.953,0.947,270480.0
2019-09-03,0.954,0.961,0.962,0.952,385875.0
2019-09-04,1.009,1.002,1.009,0.997,672705.0
2019-09-05,1.004,1.011,1.011,0.996,542579.0
2019-09-06,0.971,0.956,0.972,0.949,788899.0
2019-09-09,0.938,0.95,0.953,0.935,312587.0
2019-09-10,0.935,0.932,0.935,0.926,323712.0
2019-09-11,0.938,0.941,0.941,0.932,344695.0
2019-09-12,0.933,0.932,0.933,0.925,239539.0
2019-09-16,0.92,0.924,0.924,0.919,290273.0
2019-09-17,0.922,0.916,0.922,0.914,190451.0
2019-09-18,0.923,0.921,0.924,0.919,152325.0
2019-09-19,0.91,0.913,0.916,0.908,168956.0
2019-09-20,0.919,0.923,0.926,0.918,145440.0
2019-09-23,0.929,0.94,0.951,0.928,392325.0
2019-09-24,0.954,0.956,0.958,0.949,311713.0
2019-09-25,0.95,0.947,0.95,0.943,519102.0
2019-09-26,0.925,0.919,0.926,0.916,324391.0
2019-09-27,0.915,0.896,0.915,0.888,446624.0
2019-09-30,0.894,0.887,0.894,0.883,264996.0
2019-10-08,0.891,0.892,0.894,0.887,133577.0
2019-10-09,0.912,0.921,0.922,0.911,225386.0
2019-10-10,0.916,0.914,0.92,0.907,187574.0
2019-10-11,0.896,0.902,0.904,0.893,273881.0
2019-10-14,0.895,0.894,0.895,0.891,143927.0
2019-10-15,0.895,0.895,0.901,0.893,135741.0
2019-10-16,0.89,0.882,0.892,0.878,178541.0
2019-10-17,0.885,0.889,0.89,0.879,172075.0
2019-10-18,0.891,0.892,0.893,0.889,134865.0
2019-10-21,0.887,0.9,0.902,0.887,325305.0
2019-10-22,0.892,0.894,0.897,0.891,95589.0
2019-10-23,0.893,0.896,0.897,0.892,119971.0
2019-10-24,0.894,0.893,0.895,0.89,78024.0
2019-10-25,0.904,0.914,0.915,0.904,485587.0
2019-10-28,0.914,0.916,0.916,0.91,116773.0
2019-10-29,0.903,0.899,0.904,0.895,303995.0
2019-10-30,0.902,0.904,0.905,0.899,184164.0
2019-10-31,0.902,0.904,0.907,0.902,144922.0
2019-11-01,0.911,0.911,0.911,0.908,275252.0
2019-11-04,0.91,0.909,0.912,0.908,164321.0
2019-11-05,0.906,0.906,0.908,0.897,468246.0
2019-11-06,0.882,0.878,0.883,0.877,254262.0
2019-11-07,0.88,0.88,0.881,0.877,310346.0
2019-11-08,0.844,0.847,0.849,0.839,297269.0
2019-11-11,0.843,0.845,0.845,0.835,444925.0
2019-11-12,0.839,0.839,0.842,0.832,340785.0
2019-11-13,0.84,0.851,0.851,0.84,254939.0
2019-11-14,0.843,0.85,0.851,0.843,139020.0
2019-11-15,0.845,0.839,0.847,0.837,250025.0
2019-11-18,0.841,0.84,0.841,0.837,71467.0
2019-11-19,0.846,0.851,0.852,0.844,288002.0
2019-11-20,0.849,0.852,0.853,0.848,144339.0
2019-11-21,0.852,0.848,0.853,0.847,214051.0
2019-11-22,0.845,0.849,0.852,0.845,177568.0
2019-11-25,0.841,0.839,0.843,0.835,304692.0
2019-11-26,0.837,0.843,0.843,0.833,138772.0
2019-11-27,0.846,0.846,0.848,0.843,184045.0
2019-11-28,0.845,0.844,0.846,0.842,72269.0
2019-11-29,0.843,0.843,0.847,0.842,213655.0
2019-12-02,0.843,0.842,0.843,0.841,57119.0
2019-12-03,0.842,0.841,0.844,0.841,52530.0
2019-12-04,0.856,0.865,0.867,0.856,369083.0
2019-12-05,0.853,0.855,0.855,0.849,301888.0
2019-12-06,0.851,0.846,0.852,0.845,155429.0
2019-12-09,0.832,0.833,0.833,0.829,235741.0
2019-12-10,0.832,0.834,0.834,0.831,71550.0
2019-12-11,0.833,0.833,0.834,0.831,57021.0
2019-12-12,0.843,0.842,0.846,0.842,186252.0
2019-12-13,0.837,0.838,0.839,0.835,207617.0
2019-12-16,0.839,0.848,0.849,0.839,194031.0
2019-12-17,0.846,0.849,0.85,0.845,121854.0
